commit,duration,Original,AllRandom,AllInOrder,GreedyCoverAll,AffectedRandom,HGSAffected,GreedyCoverAffected,HGSAll,Alpha,Rocket,GreedyTimeAll,Original_ms,AllRandom_ms,AllInOrder_ms,GreedyCoverAll_ms,AffectedRandom_ms,HGSAffected_ms,GreedyCoverAffected_ms,HGSAll_ms,Alpha_ms,Rocket_ms,GreedyTimeAll_ms
368e5d970bef2e6b31afed20a1d9c15ee4f3fe82,379932,29,1,0,4,0,16,1,4,4,151,151,75699,311,0,1244,0,7312,311,1244,1244,30881,30881
a776ecbf98fd4f550b57bfba08b600156c02e187,379932,80,2,0,5,1,16,1,4,5,151,151,123555,622,0,3473,311,7312,552,1244,3651,30881,30881
8c5949c486eb31a97155d4d4dbb50ae7df280c8f,379932,121,77,109,280,1,30,374,163,27,368,368,140427,32449,75559,93301,311,11250,136737,82018,10317,102364,102364
07bebbfe6eef5eaa424c4c6c1d470270d0f98801,379932,285,197,45,514,3,0,494,90,4,482,482,195725,70204,55950,231624,933,0,180963,45656,1244,174664,174664
ce89318ff4661cc30b38fc385c02b5abe32a47f4,379932,4,247,53,1,2,0,120,19,0,107,108,34070,87129,58715,311,622,0,45594,12555,0,20865,21176
e1f48033b51fcc7bf33aad526cb8e0ca00c0fa08,379932,33,0,0,2,3,38,0,24,0,84,85,80964,0,0,622,738,14025,0,16359,0,15654,15965
fe6690ea6d869f0bc0cde44e4738dbbf8079a05f,379932,52,0,0,1,1,26,1,24,0,84,85,104611,0,0,284,286,10151,311,16359,0,15654,15965
3bac9cd8060e0977f14e035a0b421c170ad11a79,379932,14,1,0,0,0,26,1,24,0,73,74,54649,369,0,0,0,10151,311,16359,0,13541,13650
c6714ef08bcd18267f8ed7eda3297d53a13cec82,379932,24,2,0,2,1,33,31,20,0,136,141,68968,2648,0,622,414,10993,10632,15115,0,27073,28220
4d1271b5d9d44750c03e95e53d7744c279d46937,379932,39,27,53,33,113,8,119,1,0,303,306,88688,11250,58715,10247,93050,4824,45283,311,0,76729,77662
ae6fd0b23875ff2ec7186ff61831007d0a9a394a,379932,13,166,53,182,85,4,121,1,0,276,276,53118,60698,58715,112082,28602,1244,45949,311,0,68298,68298
f9d6eec95fe8c44bed382cd2c0c1435365e34abc,379932,222,108,376,180,175,26,158,225,112,400,400,176022,40309,164172,76416,76906,19771,71831,105991,34987,112493,112493
dfc3c7fab11095b32281f324e5c7ed29afac9760,379932,0,0,0,0,0,10,0,6,0,2,2,0,0,0,0,0,5373,0,6166,0,2,2
48ffb234b2bd0953fa637f3af2405b7dc9b7515a,379932,10,0,0,0,0,11,0,7,1,2,2,48427,0,0,0,0,7739,0,8532,311,2,2
6e2696dabda76e724a80739d5fba3465fa468f93,379932,155,24,173,3,1,3,183,144,3,10,10,153244,8096,95463,813,311,7287,75198,120483,933,2490,2490
53a3a62d71b123651d86bfe2dbc49f9864e250db,379932,261,521,35,515,195,1,497,459,330,80,80,188254,232420,53531,187493,73574,311,182201,219730,137467,13538,13538
8a392d014e05741e9562b13f6b76311bc88bc8c8,379932,309,432,35,509,133,1,498,459,233,80,80,203272,197631,53531,185934,58964,311,182242,219730,102802,13538,13538
5e5033f37e6be6b4bd19e5b9095e0b47bfa34b9f,379932,274,279,35,512,209,0,497,459,329,80,80,192300,141943,53531,185801,119393,0,182201,219730,181275,13538,13538
82803f4d1021650da8240ef883d544ce9b5c794e,379932,40,1,6,6,4,4,48,54,1,92,93,89958,148,1866,1735,1247,977,16827,28151,311,17927,18034
3c9d0ca70fa5a412d4eed16b3cd1e7313efe2cd0,379932,356,335,277,224,4,4,253,507,6,5,5,218886,169953,137960,93307,1247,1247,97230,230711,1869,604,604
12f32096e6f99c8761274a61e8851b0a06da7f15,379932,111,214,277,392,0,3,253,507,6,5,5,136418,70762,137960,147005,0,936,97230,230711,1869,604,604
b91549d9ce77883946b00d26eb1771f32ea7bbdf,379932,114,161,277,393,4,3,253,507,6,5,5,137633,50371,137960,192033,1247,936,97230,230711,1869,604,604
5fbc41dc7c26976c31733dabac8bcc76ed3e2add,379932,346,469,277,401,2,3,253,507,7,5,5,215411,210044,137960,193683,621,936,97230,230711,2180,604,604
4d796bdf4710fe6be3f3f759f132911028a54c5e,379932,453,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,256377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
83049c1e543956f6ca3f0025098c9febac4e722b,379932,432,465,374,61,273,337,162,286,55,216,216,247581,211210,164222,22831,113719,136159,70238,124715,22929,49764,49764
ee6d78d3755f198570fca90037ba88befe960179,379932,74,52,374,187,75,337,160,286,164,216,216,120923,15568,164222,71410,24243,136159,69572,124715,71613,49764,49764
3412964ea56371091d66bd13b2cf1dc1a5c994a6,379932,240,188,308,377,139,0,219,20,24,204,204,181711,113244,146900,186012,66522,0,86435,11521,7783,46056,46056
4c8fb59e0d4fcd5879fd3948d1f9d06bc4c91f8e,379932,245,20,308,227,21,0,220,20,147,204,204,183272,8406,146900,85616,6531,0,86200,11521,68818,46056,46056
a09cfe94a3a41ebded35492f048301697ec1dac6,379932,110,25,35,5,15,18,129,9,8,413,413,136012,10996,52147,1790,4621,9976,48851,2802,2723,127522,127522
4da6c938c62e0f01ed8e0bf25a84c1d27bc94e80,379932,83,213,80,483,188,132,447,60,388,515,515,124840,76995,65952,176678,74199,52005,166841,33975,155690,184500,184500
3a357399e247bcd07120d5c475ae12aa51a6d340,379932,555,327,160,80,28,18,363,224,73,204,204,379932,110768,90260,33014,11180,5936,141289,104898,32914,46240,46240
48a6c4498eb651b27e83de534858094a93df7997,379932,539,230,209,245,78,7,314,21,247,444,444,379932,121889,105579,92812,23015,2177,116249,11832,93434,140798,140798
8bd3e135512d9790ebde41ed1be789131a09a0a3,379932,231,249,8,517,123,320,514,201,489,278,278,178879,90935,2560,229628,92172,161991,228678,97642,221173,71191,71191
94713bb5b18808d3eadb6b65abaf7d16899c1eb8,379932,68,108,3,517,91,207,514,201,404,239,239,118212,81891,929,229670,35353,72178,228678,97642,161012,59088,59088
a755e02cdefdd63d25c4a59c03f1fc7f9b69cbf6,379932,250,24,358,191,1,1,164,31,0,438,438,184828,8351,159198,70539,311,311,62319,15536,0,132554,132554
8c00e0797067c1091a361971e2511eeaf39a6959,379932,139,201,3,356,282,179,532,249,357,182,182,147352,115027,929,119907,144449,102149,224623,105023,120218,40431,40431
116b9f916edf0b7eb2d2be92566c402bdd5dd289,379932,361,14,7,514,134,188,513,198,514,241,241,220668,3683,2249,218965,88868,122501,218646,89227,218965,57675,57675
72125fd0126400a7c9d4399ef5abcb7f7c3d4682,379932,306,45,43,2,35,68,48,111,6,133,133,202320,19275,54635,622,15040,24236,16827,54029,4202,26166,26166
78f80a760edf57f07fd0e6efb0774ea0547ba6cb,379932,398,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,234093,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cc8e14855509d291b9feefa27d5ab3fe6c8e7778,379932,280,298,8,517,86,281,512,202,504,316,316,194170,95850,2548,220111,78011,100804,218556,90568,216359,81146,81146
